Id,Term,Definition,BusinessContext,Synonyms,RelatedTerms,Category,IsActive,UsageCount,LastUsed,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,Domain,Examples,MappedTables,MappedColumns,HierarchicalRelations,PreferredCalculation,DisambiguationRules,BusinessOwner,RegulationReferences,ConfidenceScore,AmbiguityScore,ContextualVariations,LastValidated,SemanticEmbedding,QueryPatterns,LLMPromptTemplates,DisambiguationContext,SemanticRelationships,ConceptualLevel,CrossDomainMappings,SemanticStability,InferenceRules,BusinessPurpose,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,ImportanceScore,UsageFrequency,RelationshipContext,DataGovernanceLevel,LastBusinessReview
1,GGR,Gross Gaming Revenue - total amount wagered minus winnings paid out,Key performance indicator for gaming operations representing gross profit before operational costs,"[""Gross Gaming Revenue"", ""Gaming Revenue"", ""Gross Win""]","[""NGR"", ""Revenue"", ""Win Amount""]",,1,0,NULL,2025-06-20 00:34:23.7433333,NULL,System,,Gaming,,"[""tbl_Daily_actions""]","[""calculated from bets minus wins""]",,,,Finance Team,,0.9800,0.0500,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
2,NGR,Net Gaming Revenue - GGR minus bonuses and promotional costs,Net revenue after deducting promotional costs and bonuses,"[""Net Gaming Revenue"", ""Net Revenue""]","[""GGR"", ""Revenue"", ""Profit""]",,1,0,NULL,2025-06-20 00:34:23.7433333,NULL,System,,Gaming,,"[""tbl_Daily_actions""]","[""calculated from GGR minus bonuses""]",,,,Finance Team,,0.9800,0.0500,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
3,FTD,First Time Deposit - indicates if this is a players first deposit,Critical metric for player acquisition and conversion tracking,"[""First Time Deposit"", ""First Deposit"", ""Initial Deposit""]","[""Deposit"", ""Player Acquisition""]",,1,0,NULL,2025-06-20 00:34:23.7433333,NULL,System,,Customer,,"[""tbl_Daily_actions"", ""tbl_Daily_actions_players""]","[""FTD"", ""FirstDepositDate""]",,,,Marketing Team,,0.9500,0.1000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
4,White Label,Brand or casino operating under the main platform,Different casino brands operating on the same gaming platform with unique branding,"[""Brand"", ""Casino Brand"", ""Label""]","[""Casino"", ""Platform""]",,1,0,NULL,2025-06-20 00:34:23.7433333,NULL,System,,Business,,"[""tbl_White_labels"", ""tbl_Daily_actions""]","[""WhiteLabelID"", ""LabelID""]",,,,Business Team,,0.9000,0.1500,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
5,Player ID,Unique identifier for each player across all brands,Primary key for player identification across the entire gaming platform,"[""Player"", ""Customer ID"", ""User ID""]","[""Customer"", ""Account""]",,1,0,NULL,2025-06-20 00:34:23.7433333,NULL,System,,Customer,,"[""tbl_Daily_actions"", ""tbl_Daily_actions_players""]","[""PlayerID""]",,,,Customer Team,,0.9900,0.0200,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
6,Currency,A system of money in general use in a particular country or economic region,"Used throughout the gaming platform for player accounts, transactions, deposits, withdrawals, and financial reporting. Critical for multi-currency operations and regulatory compliance.","Money, Legal Tender, Monetary Unit, Financial Instrument","Exchange Rate, Currency Code, Currency Symbol, Localization, Financial Reporting",Financial,1,0,NULL,2025-06-20 04:16:51.7500000,NULL,System,,Financial,"EUR, USD, GBP, CAD, AUD, SEK, NOK, DKK, CHF, PLN","tbl_Currencies, tbl_Countries, tbl_White_labels, tbl_Daily_actions_players","CurrencyID, CurrencyName, CurrencyCode, CurrencySymbol, DefaultCurrency",,"COUNT, SUM for amounts",,Finance Team,,9.5000,0.1000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
7,Exchange Rate,The value of one currency for the purpose of conversion to another currency,"Critical for multi-currency gaming operations, financial reporting consolidation, and regulatory compliance. Updated daily from market data providers.","Currency Rate, Conversion Rate, FX Rate, Forex Rate","Currency, Financial Reporting, Market Data, Conversion",Financial,1,0,NULL,2025-06-20 04:16:51.7500000,NULL,System,,Financial,"1.1800 EUR/USD, 0.8700 EUR/GBP, 1.3500 GBP/USD",tbl_Currencies,"RateInEUR, RateInUSD, RateInGBP",,"AVG for rates, latest value for current rate",,Finance Team,,9.0000,0.2000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
8,White Label,A brand operated under license that offers gaming services under its own brand identity,"Multi-brand gaming operation where different brands share the same underlying platform but maintain separate brand identities, configurations, and customer bases.","Brand, Label, Gaming Brand, Casino Brand, Operator Brand","Brand Management, Multi-Brand Operations, Brand Configuration",Business,1,0,NULL,2025-06-20 04:16:51.7500000,NULL,System,,Business Operations,"Casino Royal, Sports Palace, Lucky Games, Premium Gaming","tbl_White_labels, tbl_Daily_actions_players","LabelID, LabelName, LabelUrl, IsActive",,COUNT for brand metrics,,Brand Management Team,,9.0000,0.1000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
9,Game Provider,Third-party software company that develops and supplies casino games to gaming operators,"Gaming providers supply the games offered on the platform. Each provider has different game portfolios, technical requirements, and commercial terms.","Software Provider, Game Supplier, Gaming Vendor, Content Provider","Game, Game Type, Game Portfolio, Gaming Content, Software Integration",Gaming,1,0,NULL,2025-06-20 04:17:21.9833333,NULL,System,,Gaming Operations,"NetEnt, Microgaming, Evolution Gaming, Pragmatic Play, Play'n GO, Yggdrasil",Games,"Provider, SubProvider, ProviderTitle, MobileProviderTitle",,COUNT for provider metrics,,Product Management Team,,9.0000,0.1000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
10,Game Type,Category classification of casino games based on gameplay mechanics and features,"Used for game organization, player preferences, regulatory compliance, and business reporting. Different game types have different RTP requirements and regulations.","Game Category, Gaming Category, Game Classification, Game Genre","Game, Gaming Content, Player Preferences, Game Mechanics",Gaming,1,0,NULL,2025-06-20 04:17:21.9833333,NULL,System,,Gaming Operations,"Slots, Table Games, Live Casino, Video Poker, Jackpot Games, Casual Games","Games, tbl_Daily_actions_games","GameType, GameFilters",,COUNT for game type distribution,,Product Management Team,,8.5000,0.2000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
11,RTP,Return to Player - the percentage of wagered money a slot machine or game returns to players over time,"Critical metric for game performance, regulatory compliance, and player satisfaction. Different jurisdictions have minimum RTP requirements.","Return to Player, Payout Percentage, Game RTP, Theoretical RTP","Payout, Game Performance, Regulatory Compliance, Player Value",Gaming,1,0,NULL,2025-06-20 04:17:21.9833333,NULL,System,,Gaming Metrics,"96.5%, 94.2%, 98.1%, 95.8% - typically between 85% and 99%",Games,"PayoutLow, PayoutHigh",,"AVG for average RTP, MIN/MAX for ranges",,Product Management Team,,9.5000,0.1000,,NULL,,,,,,,,0.00,,,,,,,0.50,0.00,,,NULL
